class,method,mr,run,AORB_live,AORB_killed,AORS_live,AORS_killed,AOIU_live,AOIU_killed,AOIS_live,AOIS_killed,AODU_live,AODU_killed,AODS_live,AODS_killed,ROR_live,ROR_killed,COR_live,COR_killed,COD_live,COD_killed,COI_live,COI_killed,SOR_live,SOR_killed,LOR_live,LOR_killed,LOI_live,LOI_killed,LOD_live,LOD_killed,ASRS_live,ASRS_killed,SDL_live,SDL_killed,VDL_live,VDL_killed,CDL_live,CDL_killed,ODL_live,ODL_killed,total_live,total_killed,mutant_score
MethodsFromColt,product,aggregate,3,0,0,0,3,1,2,0,6,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,2,27,0.93
MethodsFromColt,product,aggregate,4,0,0,0,3,0,3,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,0,29,1.00
MethodsFromColt,product,aggregate,5,0,0,0,3,0,3,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,0,29,1.00
MethodsFromColt,product,aggregate,6,0,0,0,3,0,3,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,1,1,1,28,0.97
MethodsFromColt,product,aggregate,7,0,0,0,3,0,3,0,6,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,2,27,0.93
MethodsFromColt,product,aggregate,8,0,0,1,2,0,3,0,6,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,1,2,0,0,0,0,1,1,6,23,0.79
MethodsFromColt,product,aggregate,9,0,0,0,3,0,3,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,0,29,1.00
MethodsFromColt,product,aggregate,10,0,0,0,3,0,3,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,2,0,29,1.00
MethodsFromColt,quantile,aggregate,1,2,34,0,0,1,7,1,49,0,0,0,0,1,13,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,5,0,10,1,3,3,15,9,147,0.94
MethodsFromColt,quantile,aggregate,2,5,31,0,0,0,8,3,47,0,0,0,0,0,14,0,0,0,0,1,1,0,0,0,0,2,7,0,0,0,0,0,5,2,8,2,2,3,15,18,138,0.88
MethodsFromColt,quantile,aggregate,3,1,35,0,0,0,8,0,50,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,5,0,10,0,4,1,17,3,153,0.98
MethodsFromColt,quantile,aggregate,4,3,33,0,0,1,7,3,47,0,0,0,0,1,13,0,0,0,0,1,1,0,0,0,0,1,8,0,0,0,0,0,5,0,10,0,4,1,17,11,145,0.93
MethodsFromColt,quantile,aggregate,5,6,30,0,0,0,8,4,46,0,0,0,0,1,13,0,0,0,0,1,1,0,0,0,0,2,7,0,0,0,0,1,4,1,9,0,4,4,14,20,136,0.87
MethodsFromColt,quantile,aggregate,6,2,34,0,0,0,8,4,46,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,5,1,9,0,4,0,18,7,149,0.96
