Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,6,1.0
MethodCollection2,aggregate,arithmetic,2,19,0.9047619047619048
MethodCollection2,aggregate,relational,2,16,0.8888888888888888
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,5,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,8,1.0
MethodCollection2,aggregate,arithmetic,0,8,1.0
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,1,1,0.5
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,0,7,1.0
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,0,6,1.0
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,5,0.8333333333333334
MethodCollection2,aggregate,arithmetic,1,5,0.8333333333333334
MethodCollection2,aggregate,relational,2,9,0.8181818181818182
MethodCollection2,aggregate,conditional,2,0,0.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,1,1,0.5
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,5,0.8333333333333334
MethodCollection2,aggregate,arithmetic,1,5,0.8333333333333334
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,1,1,0.5
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,5,0.8333333333333334
MethodCollection2,aggregate,arithmetic,0,5,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,2,1.0
MethodCollection2,aggregate,deletion,0,4,1.0
MethodCollection2,aggregate,arithmetic,3,25,0.8928571428571429
MethodCollection2,aggregate,relational,1,15,0.9375
