"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"140","MethodCollection2","aggregate",1,1,4,1,3,0,1,0,0,0,2,0,2,0,4,3,12,2,16,1.33333333333333,0.89
"141","MethodCollection2","aggregate",2,4,22,2,14,0,3,0,0,0,4,0,0,2,17,8,33,8,60,1.81818181818182,0.88
"142","MethodCollection2","aggregate",3,14,27,5,14,1,3,0,0,3,6,2,3,4,21,16,48,29,74,1.54166666666667,0.72
"143","MethodCollection2","aggregate",4,5,5,0,11,0,2,0,0,1,2,0,0,1,6,1,9,7,26,2.88888888888889,0.79
"144","MethodCollection2","aggregate",5,4,23,5,11,1,2,0,0,1,2,0,0,1,13,6,35,12,51,1.45714285714286,0.81
"145","MethodCollection2","aggregate",6,4,5,1,3,1,0,0,0,0,2,0,4,1,7,2,16,7,21,1.3125,0.75
"146","MethodCollection2","aggregate",7,6,7,1,3,1,0,0,0,1,1,0,0,3,3,2,11,12,14,1.27272727272727,0.54
"147","MethodCollection2","aggregate",8,2,9,1,10,0,2,0,0,0,3,0,0,1,3,1,11,4,27,2.45454545454545,0.87
"148","MethodCollection2","aggregate",9,2,9,0,11,1,1,0,0,1,2,0,0,1,4,3,12,5,27,2.25,0.84
"149","MethodCollection2","aggregate",10,0,3,2,2,0,1,0,0,0,1,0,0,0,2,2,12,2,9,0.75,0.82
"150","MethodCollection2","aggregate",11,7,7,1,3,0,1,0,0,1,0,0,4,1,13,2,32,10,28,0.875,0.74
"151","MethodCollection2","aggregate",12,2,8,0,4,0,1,0,0,0,1,0,4,2,6,2,18,4,24,1.33333333333333,0.86
"152","MethodCollection2","aggregate",13,1,6,1,3,0,1,0,0,1,0,0,4,0,8,2,17,3,22,1.29411764705882,0.88
"153","MethodCollection2","aggregate",14,1,10,0,4,1,0,0,0,0,2,0,4,3,4,3,10,5,24,2.4,0.83
"154","MethodCollection2","aggregate",15,3,9,1,10,0,2,0,0,1,3,0,0,2,3,4,10,7,27,2.7,0.79
"155","MethodCollection2","aggregate",16,9,18,1,10,0,2,0,0,2,1,0,0,4,22,7,27,16,53,1.96296296296296,0.77
"156","MethodCollection2","aggregate",17,10,58,3,5,1,1,0,0,0,4,0,0,6,24,6,20,20,92,4.6,0.82
"157","MethodCollection2","aggregate",18,4,13,3,13,1,2,0,0,1,3,0,0,3,10,9,32,12,41,1.28125,0.77
"158","MethodCollection2","aggregate",19,2,8,0,4,0,1,0,0,0,3,0,2,0,6,3,12,2,24,2,0.92
"159","MethodCollection2","aggregate",20,2,13,1,3,0,1,0,0,0,3,0,2,3,7,3,18,6,29,1.61111111111111,0.83
"160","MethodCollection2","aggregate",21,11,44,4,19,0,4,0,0,1,5,0,0,3,33,11,52,19,105,2.01923076923077,0.85
"161","MethodCollection2","aggregate",22,1,3,2,3,1,0,0,0,0,1,0,0,1,3,0,13,5,10,0.769230769230769,0.67
"162","MethodCollection2","aggregate",23,3,20,0,4,0,1,0,0,0,1,1,7,5,9,3,18,9,42,2.33333333333333,0.82
"163","MethodCollection2","aggregate",24,4,6,2,9,0,2,0,0,2,1,0,0,2,4,3,9,10,22,2.44444444444444,0.69
"164","MethodCollection2","aggregate",25,6,19,4,14,1,2,0,0,1,5,0,0,2,6,4,18,14,46,2.55555555555556,0.77
"165","MethodCollection2","aggregate",26,2,5,2,9,1,1,0,0,0,1,0,0,0,5,5,23,5,21,0.91304347826087,0.81
"166","MethodCollection2","aggregate",27,2,6,0,11,0,2,0,0,0,2,0,0,1,4,5,21,3,25,1.19047619047619,0.89
"167","MethodCollection2","aggregate",28,1,5,1,10,0,2,0,0,0,2,0,0,0,6,3,9,2,25,2.77777777777778,0.93
"168","MethodCollection2","aggregate",29,0,6,1,10,0,2,0,0,0,2,0,0,0,6,3,9,1,26,2.88888888888889,0.96
"169","MethodCollection2","aggregate",30,1,5,1,10,0,2,0,0,0,2,0,0,3,3,3,14,5,22,1.57142857142857,0.81
"170","MethodCollection2","aggregate",1,2,3,1,3,0,1,0,0,0,2,0,2,1,3,3,12,4,14,1.16666666666667,0.78
"171","MethodCollection2","aggregate",2,4,24,2,13,0,3,0,0,1,4,0,0,3,16,7,32,10,60,1.875,0.86
"172","MethodCollection2","aggregate",3,10,32,5,15,2,2,0,0,0,7,2,3,4,21,16,48,23,80,1.66666666666667,0.78
"173","MethodCollection2","aggregate",4,3,7,0,11,1,1,0,0,1,2,0,0,0,6,2,9,5,27,3,0.84
