"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"168","MethodCollection2","add",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"169","MethodCollection2","add",30,2,4,1,10,0,2,0,0,0,2,0,0,4,2,3,12,7,20,1.66666666666667,0.74
"170","MethodCollection2","add",1,2,3,1,3,0,1,0,0,0,2,0,2,1,3,3,8,4,14,1.75,0.78
"171","MethodCollection2","add",2,4,24,3,12,0,3,0,0,1,4,0,0,4,15,7,32,12,58,1.8125,0.83
"172","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"173","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"174","MethodCollection2","add",5,4,20,4,12,0,3,0,0,1,3,0,0,3,11,6,37,12,49,1.32432432432432,0.8
"175","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"176","MethodCollection2","add",7,5,8,1,3,0,1,0,0,1,1,0,0,2,4,2,11,9,17,1.54545454545455,0.65
"177","MethodCollection2","add",8,4,8,1,10,1,1,0,0,2,1,0,0,1,3,2,9,9,23,2.55555555555556,0.72
"178","MethodCollection2","add",9,0,12,0,11,0,2,0,0,0,3,0,0,1,4,3,9,1,32,3.55555555555556,0.97
"179","MethodCollection2","add",10,0,3,2,2,1,0,0,0,0,1,0,0,0,2,2,12,3,8,0.666666666666667,0.73
"180","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"181","MethodCollection2","add",12,4,6,1,3,0,1,0,0,0,1,0,4,3,5,2,15,8,20,1.33333333333333,0.71
"182","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"183","MethodCollection2","add",14,2,10,1,3,0,1,0,0,0,2,0,4,2,5,3,9,5,25,2.77777777777778,0.83
"184","MethodCollection2","add",15,1,11,3,8,0,2,0,0,0,3,0,0,0,5,4,11,4,29,2.63636363636364,0.88
"185","MethodCollection2","add",16,5,22,6,5,1,1,0,0,0,3,0,0,6,20,8,19,18,51,2.68421052631579,0.74
"186","MethodCollection2","add",17,15,51,0,8,1,1,0,0,0,4,0,0,6,24,6,22,22,88,4,0.8
"187","MethodCollection2","add",18,5,15,3,13,1,2,0,0,0,4,0,0,4,10,10,26,13,44,1.69230769230769,0.77
"188","MethodCollection2","add",19,5,5,0,4,0,1,0,0,0,3,1,1,0,6,3,8,6,20,2.5,0.77
"189","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"190","MethodCollection2","add",21,7,50,2,21,0,4,0,0,0,8,0,0,8,29,11,46,17,112,2.43478260869565,0.87
"191","MethodCollection2","add",22,1,2,1,4,0,1,0,0,0,1,0,0,1,3,0,14,3,11,0.785714285714286,0.79
